bron	doel	bytes	sha256	status
reports/DEF-766-20260918/app-delta-review-brief-v1.md	2026-09-18-uitvoering/app-delta-review-brief-v1.md	1797	ae789302e58e9922dc2abdaeb96e6b9628191ff77ac5cb7bd95273592360cc61	opgenomen
reports/DEF-766-20260918/app-review-brief-v1.md	2026-09-18-uitvoering/app-review-brief-v1.md	4031	59748333507a0f4890eba285d20772f76076eaa2fb32ab8b166a7dfbf090ee94	opgenomen
reports/DEF-766-20260918/app-review-v1.md	2026-09-18-uitvoering/app-review-v1.md	2004	b5e05def880d9e4e3c726fef28c3d1ead170faf8ca221fb73d55c7f41edbdb02	opgenomen
reports/DEF-766-20260918/app-review-v2.md	2026-09-18-uitvoering/app-review-v2.md	1170	8513e54e41a6cbe2471bea45f65fdcf7b214d60aef199abfc18b0f6c3b6c1997	opgenomen
reports/DEF-766-20260918/app-verification-manifest-v1.json	2026-09-18-uitvoering/app-verification-manifest-v1.json	2078	5af4e89ba8b13ccb0b407a30eacd6e185c997534f260306c314a7cf4fc534756	opgenomen
reports/DEF-766-20260918/app-verification-manifest-v2.json	2026-09-18-uitvoering/app-verification-manifest-v2.json	2090	c7fb78168a577b42b8261dbd5a87b42299a8d0f19aff3468989938366961e4d4	opgenomen
reports/DEF-766-20260918/baseline-make-lint.log	2026-09-18-uitvoering/baseline-make-lint.log	161	137020d1f342b9f68be2469c57e8c05668cd019aa0a92e5c13cea3b2a6918d24	opgenomen
reports/DEF-766-20260918/baseline-make-test.log	-	1549813	8a65cea03be386b6f00ea2aa4e08c0889b71581929cd213de844584938e51dc6	uitgesloten: groter dan 250000 bytes
reports/DEF-766-20260918/baseline-offline-journey.log	2026-09-18-uitvoering/baseline-offline-journey.log	3409	50afe08968649cbe85f7e965b185fcdfb39bdca62182a000f7d920d55f3735f9	opgenomen
reports/DEF-766-20260918/bestandshashes-v1.txt	2026-09-18-uitvoering/bestandshashes-v1.txt	348	05e5460f79cab1adf7a3119b517aec22d0c075b249e44efc1dc0e9fcd140a05a	opgenomen
